geoid,name,total_pop,nonlatine,nlwhite,nlblack,nlasian,latine,lwhite,lblack,lasian,tpop_nat,nat_nat,nat_noncit,medhhinc,medrent,total_pctincrent,pctincrent35_to_399,pctincrent40_to_499,pctincrent50_ormore,total_ipop,hh_inet,total_hh_poverty,hh_under_05_poverty,hh_05_to_099_poverty,hh_1_to_124_poverty,hh_125_to_149_poverty,hh_15_to_184_poverty,total_hh,pct_nlblack,pct_nlwhite,pct_nlasian,pct_latine,pct_lblack,pct_lwhite,pct_lasian,pct_185pov,pct_incrent35,pct_inetaccess,comcolorifelsepct_nlwhite0410,pct_nonnat,pct_noncit
51013103100,"Census Tract 1031, Arlington County, Virginia",5960,4072,1895,1596,287,1888,1132,59,0,5960,638,707,82240,1754,1286,137,172,331,2373,1986,5935,188,794,177,159,140,2648,.267785234899329,.317953020134228,.0481543624161074,.316778523489933,.0098993288590604,.18993288590604,0,.111878685762426,.497667185069984,.836915297092288,1,.225671140939597,.118624161073826
51013103200,"Census Tract 1032, Arlington County, Virginia",5931,5120,2634,708,1295,811,364,28,0,5931,957,1168,102222,1711,1913,178,182,251,2846,2466,5931,124,124,148,29,104,2973,.119372787051088,.444107233181588,.218344292699376,.136739167088181,.0047209576799865,.0613724498398246,0,.0682852807283763,.319393622582331,.866479269149684,0,.358286966784691,.196931377508009
51013103300,"Census Tract 1033, Arlington County, Virginia",2449,2184,1017,858,215,265,124,0,12,2449,195,290,71181,1679,918,15,107,130,1227,1036,2449,208,160,27,89,208,1274,.350347080440996,.415271539403838,.087790935075541,.108207431604737,0,.0506329113924051,.0048999591670069,.217231523070641,.274509803921569,.844335778321108,0,.198040016333197,.118415679869334
51013103401,"Census Tract 1034.01, Arlington County, Virginia",1353,1097,799,161,54,256,213,0,0,1353,140,29,126250,3053,45,0,0,0,45,41,117,0,0,0,0,0,63,.118994826311899,.590539541759054,.0399113082039911,.189209164818921,0,.157427937915743,0,0,0,.911111111111111,0,.124907612712491,.0214338507021434
51013103402,"Census Tract 1034.02, Arlington County, Virginia",5919,5423,3396,742,891,496,334,34,22,5919,601,563,121690,2352,2835,76,104,428,3696,3488,5919,287,155,13,16,194,4278,.125359013346849,.573745565129245,.150532184490623,.0837979388410204,.0057442135495861,.0564284507518162,.0037168440614969,.0861632032437912,.214462081128748,.943722943722944,0,.196654840344653,.0951174184828518
51013103501,"Census Tract 1035.01, Arlington County, Virginia",3150,2587,1970,211,328,563,513,0,0,3150,362,413,97651,1786,1659,94,43,191,2207,2130,3150,195,28,42,21,44,2596,.066984126984127,.625396825396825,.104126984126984,.178730158730159,0,.162857142857143,0,.0958730158730159,.197709463532248,.965111010421386,0,.246031746031746,.131111111111111
51013103502,"Census Tract 1035.02, Arlington County, Virginia",4941,4294,2502,843,792,647,401,0,0,4941,417,957,110929,2250,2811,159,108,268,2965,2630,4781,426,254,161,36,19,3554,.170613236187007,.506375227686703,.160291438979964,.130945152803076,0,.0811576603926331,0,.134281531060448,.190323728210601,.887015177065767,0,.278081360048573,.193685488767456
51013103503,"Census Tract 1035.03, Arlington County, Virginia",4479,4212,2409,535,916,267,207,0,23,4479,380,783,105287,2189,2322,164,169,264,2461,2353,4479,300,73,16,124,135,2829,.11944630497879,.537843268586738,.204509935253405,.0596115204286671,0,.0462156731413262,.0051350747934807,.128376869837017,.257105943152455,.956115400243803,0,.259656173252958,.174815807099799
51013103601,"Census Tract 1036.01, Arlington County, Virginia",2758,2412,2095,22,179,346,185,0,0,2758,111,175,177625,1982,394,9,22,17,953,898,2751,73,46,22,0,13,1035,.0079767947788252,.759608411892676,.064902102973169,.12545322697607,0,.0670775924583031,0,.0392584514721919,.121827411167513,.942287513116474,0,.103698332124728,.0634517766497462
51013103602,"Census Tract 1036.02, Arlington County, Virginia",1223,957,523,94,313,266,259,0,0,1223,118,438,81328,1989,673,41,45,108,679,626,1223,110,68,16,6,99,849,.0768601798855274,.427636958299264,.255928045789043,.21749795584628,0,.211774325429272,0,.188879803761243,.288261515601783,.921944035346097,0,.454619787408013,.358135731807032
51013103700,"Census Tract 1037, Arlington County, Virginia",2616,2274,1960,75,163,342,290,0,0,2616,253,99,200515,3501,114,0,0,4,975,959,2608,59,12,5,10,0,1045,.0286697247706422,.749235474006116,.0623088685015291,.130733944954128,0,.11085626911315,0,.0283742331288344,.0350877192982456,.983589743589744,0,.134556574923547,.0378440366972477
51013103800,"Census Tract 1038, Arlington County, Virginia",5027,4240,2671,1141,320,787,537,0,0,5027,710,506,91181,1891,1840,68,87,403,2434,2297,5027,183,241,258,192,155,2545,.226974338571713,.531330813606525,.0636562562164313,.156554605132286,0,.106823154963199,0,.156753530932962,.303260869565217,.943714050944947,0,.241893773622439,.100656455142232
51013980100,"Census Tract 9801, Arlington County, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
51013980200,"Census Tract 9802, Arlington County, Virginia",4,4,4,0,0,0,0,0,0,4,0,0,,,4,0,0,0,4,4,4,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0
